,time,Q_D/Q_GBD,Q_e/Q_GBD
0,0.5,0.003523442,0.002041705
1,1,0.003461054,0.004019753
2,1.5,0.003175064,0.004206891
3,2,0.002325147,0.002290538
4,2.5,0.00202757,0.002228367
5,3,0.001758581,0.001969854
6,3.5,0.001484996,0.001906994
7,4,0.001546514,0.002205199
8,4.5,0.00182145,0.002738807
9,5,0.00216945,0.003295074
10,5.5,0.002539266,0.003814267
11,6,0.002868545,0.004187949
12,6.5,0.003220667,0.004406638
13,7,0.003713182,0.00458969
14,7.5,0.004399679,0.004857296
15,8,0.00533533,0.005355588
16,8.5,0.006594317,0.006212335
17,9,0.008249248,0.007493332
18,9.5,0.010371275246143341,0.00923121
19,10,0.013071927,0.011439381167292595
20,10.5,0.016537560150027275,0.014091809280216694
21,11,0.021034618839621544,0.017119785770773888
22,11.5,0.026897979900240898,0.020439321
23,12,0.034590006,0.024087304
24,12.5,0.044775061309337616,0.02848506
25,13,0.058326192,0.034346413
26,13.5,0.076337464,0.042232886
27,14,0.10018090903759003,0.05245265
28,14.5,0.13161911070346832,0.065385371
29,15,0.17318129539489746,0.08195129
30,15.5,0.22821815311908722,0.10321088880300522
31,16,0.3012515902519226,0.13060776889324188
32,16.5,0.39820075035095215,0.16628252
33,17,0.5266735553741455,0.2133985310792923
34,17.5,0.697340727,0.27587631344795227
35,18,0.9207107424736023,0.356140673
36,18.5,1.2147963047027588,0.4603993892669678
37,19,1.6010545492172241,0.5976116061210632
38,19.5,2.1103575229644775,0.7835423350334167
39,20,2.7800345420837402,1.038839340209961
40,20.5,3.6408588886260986,1.3744186162948608
41,21,4.742792129516602,1.8109627962112427
42,21.5,6.127720832824707,2.368541955947876
43,22,7.875916957855225,3.0791451930999756
44,22.5,10.029899597167969,3.9687674045562744
45,23,12.657354354858398,5.0655364990234375
46,23.5,15.849690437316895,6.415500164031982
47,24,19.58954620361328,8.023031234741211
48,24.5,23.868614196777344,9.927401542663574
49,25,28.60426902770996,12.115671157836914
50,25.5,33.59332275390625,14.433497428894043
51,26,38.663063049316406,16.901622772216797
52,26.5,43.49028778076172,19.257844924926758
53,27,47.65923309326172,21.59415626525879
54,27.5,50.4934082,23.121061325073242
55,28,50.53263854980469,23.174522399902344
56,28.5,47.04336166381836,21.83360481262207
57,29,42.33720779418945,20.122114181518555
58,29.5,37.77752685546875,17.73996925354004
59,30,34.76728820800781,16.069326400756836
60,30.5,34.941490173339844,15.449776649475098
61,31,34.15967559814453,14.65259075164795
62,31.5,33.89289093017578,14.123941421508789
63,32,32.759063720703125,13.761856079101562
64,32.5,31.285343170166016,13.346224784851074
65,33,30.09449005126953,13.401914596557617
66,33.5,29.489229202270508,13.551937103271484
67,34,29.48931312561035,13.989898681640625
68,34.5,28.963375091552734,13.796096801757812
69,35,28.77399444580078,13.76130485534668
70,35.5,29.077423095703125,14.123098373413086
71,36,28.61292266845703,14.091584205627441
72,36.5,28.566736221313477,14.108297348022461
73,37,27.99276351928711,13.469572067260742
74,37.5,27.83720588684082,13.111897468566895
75,38,27.32691192626953,12.477863311767578
76,38.5,26.90732192993164,12.04781723022461
77,39,26.408632278442383,11.584073066711426
78,39.5,25.696941375732422,11.24775218963623
79,40,25.529802322387695,11.278407096862793
80,40.5,25.444168090820312,11.152558326721191
81,41,26.388641357421875,11.254033088684082
82,41.5,27.93272590637207,11.791058540344238
83,42,28.242982864379883,11.699230194091797
84,42.5,28.77858543395996,11.675904273986816
85,43,28.34020233154297,11.309691429138184
86,43.5,27.241920471191406,10.829423904418945
87,44,26.526317596435547,10.738784790039062
88,44.5,26.186466217041016,10.663559913635254
89,45,26.309175491333008,10.663300514221191
90,45.5,25.995412826538086,10.432319641113281
91,46,25.378189086914062,9.965989112854004
92,46.5,25.286373138427734,9.977144241333008
93,47,25.344074249267578,10.145614624023438
94,47.5,25.58797264099121,10.174315452575684
95,48,25.866249084472656,10.294501304626465
96,48.5,26.97268295288086,10.679041862487793
97,49,28.046655654907227,11.008915901184082
98,49.5,29.35279083251953,11.46889877319336
99,50,30.486080169677734,11.836677551269531
100,50.5,31.639694213867188,12.02963924407959
101,51,32.76186752319336,12.29745864868164
102,51.5,32.732879638671875,12.283317565917969
103,52,33.212642669677734,12.608384132385254
104,52.5,33.230430603027344,12.742199897766113
105,53,33.503517150878906,13.205292701721191
106,53.5,32.124691009521484,12.778983116149902
107,54,31.637962341308594,13.00686264038086
108,54.5,30.058713912963867,12.354726791381836
109,55,29.453237533569336,11.978672981262207
110,55.5,28.900453567504883,11.546586036682129
111,56,29.138185501098633,11.721100807189941
112,56.5,30.07352638244629,12.03431224822998
113,57,31.506515502929688,12.541765213012695
114,57.5,32.314483642578125,12.714029312133789
115,58,32.94468307495117,13.05173110961914
116,58.5,34.20475387573242,13.413500785827637
117,59,35.13319016,13.81909465789795
118,59.5,35.66380692,14.090290069580078
119,60,36.078208923339844,14.227919578552246
120,60.5,36.255958557128906,14.003029823303223
121,61,36.713226318359375,14.006294250488281
122,61.5,36.20969009399414,13.739912033081055
123,62,35.738739013671875,13.541260719299316
124,62.5,34.337799072265625,12.94756794
125,63,33.683380126953125,12.73474121
126,63.5,33.23197555541992,12.47934627532959
127,64,32.408695220947266,12.074136734008789
128,64.5,32.89296340942383,12.312695503234863
129,65,32.998756408691406,12.366400718688965
130,65.5,33.28852462768555,12.55102825164795
131,66,34.24590301513672,12.830805778503418
132,66.5,35.439510345458984,13.388296127319336
133,67,36.41765594482422,13.90374755859375
