,time,Q_D/Q_GBD,Q_e/Q_GBD
0,0.5,0.003189032,0.001318145
1,1,0.00312615,0.002727745
2,1.5,0.003009156,0.003655979
3,2,0.002347249,0.00235872
4,2.5,0.001791492,0.001826202
5,3,0.001227138,0.001518484
6,3.5,0.000943639,0.001542782
7,4,0.000929031,0.001834811
8,4.5,0.000981172,0.002119466
9,5,0.00102441,0.0022747
10,5.5,0.001057297,0.002314562
11,6,0.001096328,0.002288127
12,6.5,0.001159175,0.002238591
13,7,0.001254858,0.002205239
14,7.5,0.00138435,0.002215199
15,8,0.001543229,0.002277964
16,8.5,0.001732317,0.002397166
17,9,0.001956362,0.00257894
18,9.5,0.002224287,0.002824494
19,10,0.002546859,0.003119129
20,10.5,0.002937232,0.003437994
21,11,0.003409516,0.003762446
22,11.5,0.003981129,0.004098159
23,12,0.004674516,0.00448153
24,12.5,0.005516957,0.004968391
25,13,0.00653965,0.005610848
26,13.5,0.007778176,0.006437981
27,14,0.00927495,0.007455014
28,14.5,0.011082473,0.008659584
29,15,0.013266915,0.010061733
30,15.5,0.01591064,0.011693347
31,16,0.019113868,0.013604417
32,16.5,0.02299794,0.015856965
33,17,0.027708162,0.018518742
34,17.5,0.033408228,0.021648392
35,18,0.040284235,0.025312467
36,18.5,0.048588447,0.029641593
37,19,0.058671597,0.034818269
38,19.5,0.070972294,0.041044414
39,20,0.08604081,0.048617821
40,20.5,0.104547888,0.057942487
41,21,0.127196908,0.069381721
42,21.5,0.154747471,0.08324974
43,22,0.188189507,0.099959478
44,22.5,0.228826448,0.120031796
45,23,0.278367192,0.144206345
46,23.5,0.339072913,0.173706546
47,24,0.413666099,0.210077688
48,24.5,0.505046487,0.254891515
49,25,0.616300464,0.309681565
50,25.5,0.751260161,0.375937462
51,26,0.915134966,0.455724329
52,26.5,1.115549684,0.553104639
53,27,1.362442255,0.674017072
54,27.5,1.662909508,0.822712123
55,28,2.02864933,1.004576087
56,28.5,2.473903894,1.22623229
57,29,3.017241955,1.498461008
58,29.5,3.67829895,1.834965825
59,30,4.475619793,2.248580456
60,30.5,5.430208206,2.751797915
61,31,6.567331314,3.360145807
62,31.5,7.910259724,4.091709137
63,32,9.486637115,4.965198517
64,32.5,11.31978893,5.997557163
65,33,13.42894936,7.205517292
66,33.5,15.79848289,8.584680557
67,34,18.43915749,10.14362431
68,34.5,21.36468697,11.91579628
69,35,24.63383484,13.97187901
70,35.5,28.00806427,16.17160988
71,36,31.1877327,18.30394936
72,36.5,34.07749557,20.3154335
73,37,36.72232437,22.16846466
74,37.5,38.47485352,23.43567467
75,38,38.42993927,23.32402992
76,38.5,37.01995087,22.20389938
77,39,34.95830154,20.41341782
78,39.5,33.11085129,18.51558876
79,40,31.15849495,16.56338501
80,40.5,28.86995506,14.98084259
81,41,26.64242172,13.84602356
82,41.5,23.78672028,12.46635723
83,42,22.10483551,11.5070467
84,42.5,20.72629929,10.69462681
85,43,18.90152359,9.917791367
86,43.5,17.48930931,9.199575424
87,44,16.09194374,8.53930378
88,44.5,15.02392387,8.01913166
89,45,13.93995857,7.500312805
90,45.5,13.2041769,7.125859737
91,46,12.47875881,6.775141716
92,46.5,12.06972218,6.469863892
93,47,11.64670086,6.101675034
94,47.5,11.47177792,5.758730888
95,48,11.57378006,5.68062067
96,48.5,11.46814728,5.5356493
97,49,11.40144634,5.420748711
98,49.5,11.36526012,5.333594799
99,50,11.31997204,5.303368568
100,50.5,11.17391205,5.24283123
101,51,10.98321819,5.106768608
102,51.5,10.88584137,5.013961792
103,52,10.69603348,4.889226913
104,52.5,10.50757122,4.797053814
105,53,10.35192871,4.695363045
106,53.5,10.24747467,4.641812801
107,54,10.14576626,4.606008053
108,54.5,10.21176434,4.647337914
109,55,10.30615807,4.70200491
110,55.5,10.36515045,4.72039175
111,56,10.39991188,4.726755619
112,56.5,10.47897243,4.763356686
113,57,10.62539101,4.832142353
114,57.5,10.86505699,4.927353382
115,58,11.07792568,5.017577648
116,58.5,11.42556,5.171377182
117,59,11.8537159,5.393838882
118,59.5,12.30090809,5.633433342
119,60,12.81643105,5.896938801
120,60.5,13.3166008,6.129456043
121,61,13.74891376,6.279336929
122,61.5,14.20780182,6.387787819
123,62,14.66171551,6.476532936
