,time,Q_D/Q_GBD,Q_e/Q_GBD
0,0.5,0.00335525,0.001669172
1,1,0.003314032,0.003337702
2,1.5,0.003159506,0.003941326
3,2,0.002479651,0.002337187
4,2.5,0.002004248,0.001940673
5,3,0.001432323,0.001616095
6,3.5,0.001118251,0.001643745
7,4,0.001140069,0.002041975
8,4.5,0.001258838,0.002475158
9,5,0.00135621,0.002742977
10,5.5,0.001415975,0.002841172
11,6,0.001469215,0.002853785
12,6.5,0.001558699,0.002847501
13,7,0.001708787,0.002863827
14,7.5,0.001923705,0.002942048
15,8,0.002198632,0.003117125
16,8.5,0.002533719,0.003415567
17,9,0.002934175,0.003856549
18,9.5,0.003412247,0.00443595
19,10,0.00398705,0.005111485
20,10.5,0.004685731,0.005824866
21,11,0.005542976,0.006547129
22,11.5,0.00660639,0.007321224
23,12,0.007937423,0.00826693
24,12.5,0.009604163,0.00953036
25,13,0.011676601134240627,0.011207939125597477
26,13.5,0.014233351685106754,0.013303439132869244
27,14,0.017374679446220398,0.015759173780679703
28,14.5,0.021236497908830643,0.018548412
29,15,0.026005901396274567,0.021754798
30,15.5,0.031923804,0.025540431961417198
31,16,0.039276737719774246,0.030049328
32,16.5,0.048408609,0.035405837
33,17,0.059729654,0.041725438088178635
34,17.5,0.073682569,0.049089823
35,18,0.090844013,0.057732727378606796
36,18.5,0.11210502684116364,0.068181276
37,19,0.13862723112106323,0.08105728
38,19.5,0.17188522219657898,0.097092323
39,20,0.2138555943965912,0.11736416816711426
40,20.5,0.266734779,0.14307424426078796
41,21,0.3326720893383026,0.1753280609846115
42,21.5,0.4142681956291199,0.2151428610086441
43,22,0.5153018236160278,0.263327956
44,22.5,0.64131391,0.32165277004241943
45,23,0.7994906902313232,0.3941516876220703
46,23.5,0.9990212321281433,0.4867454469203949
47,24,1.2494004964828491,0.6053109169006348
48,24.5,1.5570765733718872,0.7525394558906555
49,25,1.9410645961761475,0.9353785514831543
50,25.5,2.4184114933013916,1.162909984588623
51,26,3.0130648612976074,1.4501007795333862
52,26.5,3.7438864707946777,1.8097288608551025
53,27,4.642324924468994,2.261944055557251
54,27.5,5.7289228439331055,2.817127227783203
55,28,7.032202721,3.493124008178711
56,28.5,8.598284721374512,4.317131042480469
57,29,10.45407485961914,5.307994365692139
58,29.5,12.62072754,6.484172821044922
59,30,15.107418060302734,7.850715160369873
60,30.5,17.93445587158203,9.432682991027832
61,31,21.09372901916504,11.23870849609375
62,31.5,24.58998680114746,13.30512523651123
63,32,28.251998901367188,15.556974411010742
64,32.5,31.76446533203125,17.792919158935547
65,33,35.07156753540039,19.987272262573242
66,33.5,38.02204132080078,21.977012634277344
67,34,39.83525466918945,23.19569969177246
68,34.5,40.153865814208984,23.310325622558594
69,35,38.918922424316406,22.24765968322754
70,35.5,37.13826370239258,20.69836426
71,36,36.07676315307617,19.260316848754883
72,36.5,35.80646896362305,18.445751190185547
73,37,35.36997604370117,17.612516403198242
74,37.5,33.944000244140625,16.690717697143555
75,38,31.375179290771484,15.554221153259277
76,38.5,28.653182983398438,14.28180218
77,39,25.927410125732422,13.252460479736328
78,39.5,23.731887817382812,12.710648536682129
79,40,21.578170776367188,11.611175537109375
80,40.5,20.306901931762695,10.693002700805664
81,41,19.39892578,10.109644889831543
82,41.5,18.35662841796875,9.554930686950684
83,42,17.90276336669922,9.364331245422363
84,42.5,17.670883178710938,9.073958396911621
85,43,17.26207160949707,8.720401763916016
86,43.5,16.857336044311523,8.406681060791016
87,44,16.66558265686035,8.100262641906738
88,44.5,16.58401107788086,8.062226295471191
89,45,16.279544830322266,8.056598663330078
90,45.5,16.167617797851562,8.073396682739258
91,46,15.989274024963379,7.955601215362549
92,46.5,15.998064994812012,7.842504978179932
93,47,15.775081634521484,7.709667682647705
94,47.5,16.26927375793457,7.930699348449707
95,48,16.44297981262207,7.990478038787842
96,48.5,16.770904541015625,8.021789551
97,49,16.808401107788086,7.885490417480469
98,49.5,16.986974716186523,7.822264671325684
99,50,17.396699905395508,7.843705177307129
100,50.5,17.987953186035156,8.020397186279297
101,51,18.508453369140625,8.209018707
102,51.5,19.00069808959961,8.475762367248535
103,52,19.545631408691406,8.769258499145508
104,52.5,19.91961097717285,8.977563858032227
105,53,20.263347625732422,9.190271377563477
106,53.5,20.614696502685547,9.428222656
107,54,20.86210060119629,9.651823997497559
108,54.5,21.03304672241211,9.932435035705566
109,55,20.684114456176758,9.866596221923828
110,55.5,20.231029510498047,9.760557174682617
