,time,Q_D/Q_GBD,Q_e/Q_GBD
0,0.5,0.003503312,0.001995586
1,1,0.003446474,0.003933175
2,1.5,0.003186291,0.004172389
3,2,0.0024065,0.002302306
4,2.5,0.002090879,0.002173199
5,3,0.001739441,0.0018802
6,3.5,0.001428713,0.001832816
7,4,0.001470203,0.002196948
8,4.5,0.001716839,0.002770021
9,5,0.002013053,0.003288755
10,5.5,0.002298472,0.003667366
11,6,0.002537431,0.003892031
12,6.5,0.002808853,0.00402638
13,7,0.003202603,0.004162722
14,7.5,0.00376282,0.004393379
15,8,0.004519658,0.004834204
16,8.5,0.005518519,0.005592076
17,9,0.006803231,0.006731426
18,9.5,0.008417198,0.00826909
19,10,0.010434746,0.010175017639994621
20,10.5,0.012986288405954838,0.012374139
21,11,0.016256062,0.014772041700780392
22,11.5,0.020490655675530434,0.017346894
23,12,0.026029322296380997,0.020288631319999695
24,12.5,0.033315722,0.024024621
25,13,0.042887777,0.029032979160547256
26,13.5,0.055386822670698166,0.035580549
27,14,0.071613304,0.043671675
28,14.5,0.092671268,0.053436007
29,15,0.1201423779129982,0.065500565
30,15.5,0.1561439335346222,0.080711082
31,16,0.20345620810985565,0.100263812
32,16.5,0.26595279574394226,0.12576092779636383
33,17,0.34814897179603577,0.15874601900577545
34,17.5,0.4551195204257965,0.2010585367679596
35,18,0.5949339866638184,0.25520622730255127
36,18.5,0.7766731381416321,0.32352936267852783
37,19,1.0145142078399658,0.4130728840827942
38,19.5,1.3275091648101807,0.5341144800186157
39,20,1.7369478940963745,0.6978995203971863
40,20.5,2.272160053253174,0.9171839356422424
41,21,2.954451799,1.1984050273895264
42,21.5,3.8270821571350098,1.5588136911392212
43,22,4.937442779541016,2.026013135910034
44,22.5,6.320631504058838,2.6174750328063965
45,23,8.027713775634766,3.360828399658203
46,23.5,10.123712539672852,4.286399841308594
47,24,12.682969093322754,5.433457374572754
48,24.5,15.765174865722656,6.841264724731445
49,25,19.380016326904297,8.510172843933105
50,25.5,23.499961853027344,10.431463241577148
51,26,28.052764892578125,12.617466926574707
52,26.5,32.93813705444336,15.009368896484375
53,27,37.78664016723633,17.420495986938477
54,27.5,42.44698715209961,19.72279167175293
55,28,46.864845275878906,22.13559913635254
56,28.5,49.46022033691406,23.73873519897461
57,29,49.50735092163086,24.099903106689453
58,29.5,48.813480377197266,23.891862869262695
59,30,46.689029693603516,23.03316879272461
60,30.5,45.08155059814453,21.939712524414062
61,31,46.200172424316406,21.181264877319336
62,31.5,47.490257263183594,21.78322982788086
63,32,46.68271255493164,21.407936096191406
64,32.5,44.102455139160156,20.29943848
65,33,40.69127655029297,19.28301429748535
66,33.5,35.746280670166016,17.29799461364746
67,34,32.25851058959961,15.27932071685791
68,34.5,28.541471481323242,13.216510772705078
69,35,25.346893310546875,11.884275436401367
